"File","Field","Index","Speakers","Japanese","Speakers (E)","English","LineBreak"
"0334.dat","line","56","6 [継母]","このままじゃ
あたしの豪遊生活の夢が　台無しじゃない
本当　役に立たないね！","6 [Stepmother]","At this rate these useless girls will just end up
spoiling my plan of marrying into riches!","TRUE"
"0334.dat","line","59","6 [継母]","こうなったら　あたしが行くしかないわ！","6 [Stepmother]","Fine! I’ll do it myself!","TRUE"
"0334.dat","line_addition","63","","
王子…　王子はどこ…？","","
Now where is he!?","TRUE"
"0334.dat","line","79","0 [ルカデレラ]","ここがお城…　素敵！　まるで夢のようだわ…！
","0 [Cinderuca]","So this is the castle... It’s like a dream come true!
","TRUE"
"0334.dat","line_addition","82","","王子様はどこかしら…？","","I wonder where the prince might be? ","TRUE"
"0334.dat","line","95","1 [王子]","美しい……　今の女性は一体…？
おい　どこのご令嬢かわかるか？","1 [Prince]","How pretty... Now who might she be...?
You, do you know which family that gentlewoman
comes from?","TRUE"
"0334.dat","line","100","4 [側近]","ご…れいじょう？　それなにか？
キュキュ　わからん…","4 [Close Aide]","Jentel... woman? What is jentel woman?
QQ doesn’t understand...","TRUE"
"0334.dat","line","106","1 [王子]","お前に聞いたオレが　バカだった
行ってくる","1 [Prince]","Stupid of me to think you’d know.
Fine, I’ll just go ask her myself.","TRUE"
"0334.dat","line","112","4 [側近]","ヘンな帽子　バカだたか？
","4 [Close Aide]","Is weird hat dumb?
","TRUE"
"0334.dat","line_addition","116","","あぅ　違う…　おう…おうじ……","","Ahh-- wrong... Pr-prince...","TRUE"
"0334.dat","line","120","4 [側近]","ヘンなバカ王子　がんばる！","4 [Close Aide]","Good luck, stupid weird prince!","TRUE"
"0334.dat","line","133","0 [ルカデレラ]","王子様　一体どこにいらっしゃるのかしら？
","0 [Cinderuca]","Where is he...?
Oh dear, I’m running out of time...
","TRUE"
"0334.dat","line_addition","136","","もう時間がないのに…どうしよう…","","What do I do...?","TRUE"
"0334.dat","line","147","1 [王子]","お嬢さん　私と踊っていただけませんか？","1 [Prince]","Miss? May I have this dance?","TRUE"
"0334.dat","line","152","0 [ルカデレラ]","は　はい…　あの　でも
あなたはもしかして　王子様では…？
そんな方が　私となんて……","0 [Cinderuca]","Y-yes... umm... but are you not the prince?
Why would a person such as yourself even--","TRUE"
"0334.dat","line","155","1 [王子]","今の私は　あなたに心奪われた者の
ひとりに過ぎません","1 [Prince]","Right now, I’m nothing but a man enthralled by
your beauty.","TRUE"
"0334.dat","line","158","1 [王子]","今宵は身分など忘れて
どうか　私と踊ってはいただけませんか？","1 [Prince]","Let us forget our social status and dance the
rest of the night away. Shall we?","TRUE"
"0334.dat","line","162","0 [ルカデレラ]","…はい！","0 [Cinderuca]","G-Gladly! ","TRUE"
"0334.dat","line","174","6 [継母]","王子　やっと見つけた…！
","6 [Stepmother]","I finally found you--!
","TRUE"
"0334.dat","line_addition","178","","はぁ？　なに？　あの子
王子にベタベタして…！","","Huh? Who’s that girl dancing with him?","TRUE"
"0334.dat","line","182","6 [継母]","王子と踊るのは　あたしよ！
ブチ壊してやる！","6 [Stepmother]","Get the hell out, witch!
I’M the one who’s supposed to be dancing with him,
not you!","TRUE"
"0334.dat","line","191","4 [側近]","ヘンなバカ王子　邪魔させない
衛兵　つまみ出す！","4 [Close Aide]","I will not let you interfere!
Guards! Get her!","TRUE"
"0334.dat","line","198","6 [継母]","こ　コラ！　触らないでよ！
ちょっと　どこ触って…エッチ！","6 [Stepmother]","H-hey! Where are you-- hey!
You pervert!","TRUE"
"0334.dat","line","209","5 [ナレーション]","こうして　ルカデレラは
王子と楽しい時間をすごしました","5 [Narration]","Cinderuca had a pleasant time with the prince.","TRUE"
"0334.dat","line","212","5 [ナレーション]","しかし　楽しい時間はあっという間に
過ぎていきました","5 [Narration]","However, it was only after a while when she realized
that she had lost track of the time.","TRUE"
"0334.dat","line","219","0 [ルカデレラ]","いけない…　もう時間だわ
王子様　ごめんなさい…
私　もう行かなきゃ…","0 [Cinderuca]","Oh no, it’s almost midnight.
I’m sorry, your Highness, but I have to go.","TRUE"
"0334.dat","line","223","1 [王子]","行くってどこへ…？","1 [Prince]","Go? Go where?","TRUE"
"0334.dat","line","228","0 [ルカデレラ]","それは……","0 [Cinderuca]","I...","TRUE"
"0334.dat","line","232","1 [王子]","私は君を手放したくはない
側にいてくれないか？","1 [Prince]","I don’t want you to leave.
Please, won’t you stay a little longer?","TRUE"
"0334.dat","line","235","0 [ルカデレラ]","ごめんなさい……王子様
","0 [Cinderuca]","I’m sorry, your Highness, but I’ll have to go.
","TRUE"
"0334.dat","line_addition","238","","素敵な時間をありがとう　さよなら","","Thank you for dancing with me.","TRUE"
"0334.dat","line","242","1 [王子]","待ってくれ…！","1 [Prince]","Wait!","TRUE"
"0334.dat","line","249","0 [ルカデレラ]","あっ…！！","0 [Cinderuca]","Ahh...!","TRUE"
"0334.dat","line","256","1 [王子]","待ってくれ！　ルカデレラ！","1 [Prince]","Please, Cinderuca, wait!","TRUE"
"0334.dat","line","260","0 [ルカデレラ]","……急がなきゃ…！","0 [Cinderuca]","...I have to hurry!","TRUE"
"0334.dat","line","272","1 [王子]","はぁ…はぁ…　クソッ…！！
なぜ　私は…オレは彼女の手を離したんだ！","1 [Prince]","Hah... Hah... Damn it!
Why? Why did she leave me...?!","TRUE"
"0334.dat","line","277","1 [王子]","……ん…？　あれは靴…？
ルカデレラのなのか…？","1 [Prince]","A slipper? Was that hers?","TRUE"
"0334.dat","line_speaker","283","","王子","","Prince","FALSE"
"0334.dat","line","283","","………………………………","","...","TRUE"
"0334.dat","line","287","1 [王子]","側近！","1 [Prince]","AIDE!","TRUE"
"0334.dat","line","295","4 [側近]","はい
あのコ　探すか？","4 [Close Aide]","You called?
Looking for girl?","TRUE"
"0334.dat","line","298","1 [王子]","ああ　急いで探し出せ
オレはあの娘と結婚する！","1 [Prince]","Yes, look for her! I’ve decided!
I’m going to marry that girl!","TRUE"
"0334.dat","line","324","5 [ナレーション]","それからお城では　国中に使いを派遣し
ガラスの靴がぴったり合う娘を捜しました
しかし　いつまで経っても　娘は見つかりません","5 [Narration]","And so the palace sent forth envoys in search for a girl
who would fit the glass slipper. Yet, no matter how long
they tried, they never found her.","TRUE"
"0334.dat","line","327","5 [ナレーション]","そんなある日のこと　ルカデレラの家にも
王子様とお城の使いがやってきました","5 [Narration]","Until one day, the messenger from the palace arrived
at Cinderuca’s family’s doorstep.","TRUE"
"0334.dat","line","330","5 [ナレーション]","継母や姉たちは　王子と結婚するために
ガラスの靴に足を入れますが
どう頑張っても入りませんでした","5 [Narration]","In hopes of the chance of marrying the prince, the
stepmother and her daughters tried wearing the shoe,
but no matter how hard they tried, it never fit.","TRUE"
"0334.dat","line","336","6 [継母]","なんで　あたしじゃダメなのよ！
ぴったり入ってるじゃない！","6 [Stepmother]","What are you saying!?
Of course it fits, look!","TRUE"
"0334.dat","line","339","4 [側近]","でも　ブカブカ
ピッタリ違う　ムリ","4 [Close Aide]","But shoes too big.
Fit impossible.","TRUE"
"0334.dat","line","342","1 [王子]","おい
この家には　もう他に娘はいないのか？","1 [Prince]","Hey, is there no other daughter around in this house?","TRUE"
"0334.dat","line","347","6 [継母]","い　居ないわよ","6 [Stepmother]","N-No, of course not.","TRUE"
"0334.dat","line","351","1 [王子]","……それは本当か？","1 [Prince]","Is that true?","TRUE"
"0334.dat","line","354","3 [意地悪な姉２]","いいえ　王子様　この家にはもう一人います
ルカデレラ！","3 [Sister２]","It is not true, your highness.
There is another person in this house.
Cinderuca!","TRUE"
"0334.dat","line","360","0 [ルカデレラ]","はい　お姉さま　なんでしょう？","0 [Cinderuca]","You called?","TRUE"
"0334.dat","line","363","3 [意地悪な姉２]","話は聞いていましたね？
その靴をはいてみて","3 [Sister２]","So you have been listening, come.
Why, not try wearing that slipper?","TRUE"
"0334.dat","line","367","6 [継母]","この子は…なにを言い出すんだい！
ルカデレラが　はけるわけないでしょ！","6 [Stepmother]","What are you-- Are you out of your mind?
There’s no way it’s Cinderuca!","TRUE"
"0334.dat","line","370","1 [王子]","黙れ　そこの娘　試せ","1 [Prince]","Silence! Let her try the slippers!","TRUE"
"0334.dat","line_speaker","381","","ルカデレラ","","Cinderuca","FALSE"
"0334.dat","line","381","","………………………","","...","TRUE"
"0334.dat","line","388","4 [側近]","入った…","4 [Close Aide]","It fits...","TRUE"
"0334.dat","line","392","6 [継母]","そんなこと　あるわけないわ！
ほら　見て！　ちょっとスキマが出来てる！","6 [Stepmother]","No way it doesn’t! Look!
There’s a gap right there!","TRUE"
"0334.dat","line","396","1 [王子]","ルカデレラ　あのときと姿が違い
一目見ても　気づかなかった
すまない　許してくれ","1 [Prince]","Cinderuca, I must apologize for not immediately
recognizing you.
Please, forgive me...","TRUE"
"0334.dat","line","399","0 [ルカデレラ]","いいえ　王子様
私は気にしておりません","0 [Cinderuca]","Please, your Highness, don’t worry about it.
I do not mind it at the least.","TRUE"
"0334.dat","line","403","1 [王子]","そうか　ありがとう
その…　もしよかったら
私とともに　城に来てもらえないか？","1 [Prince]","I see... thank you.
And... umm... if you don’t mind...
would you like to come back with me to the castle?","TRUE"
"0334.dat","line","407","0 [ルカデレラ]","……はい！","0 [Cinderuca]","...Yes!","TRUE"
"0334.dat","line","411","5 [ナレーション]","それからルカデレラは　王子様と結婚し
末永く幸せに暮らしました","5 [Narration]","And from that day onwards, Cinderuca and the
Prince got married.","TRUE"
"0334.dat","line","414","5 [ナレーション]","一方　継母は　王子様に虚偽報告の罪で
城の地下牢に　幽閉されてしまいました","5 [Narration]","On the other hand, the stepmother was sent to the
castle’s dungeon for lying in front of the prince.","TRUE"
"0334.dat","line","417","5 [ナレーション]","意地悪な姉１は　持ち前の守銭奴を生かし
商売をはじめ　繁盛したとかしてないとか","5 [Narration]","The money-grubbing sister took advantage of
her newfound wealth to start a new business,
which may or may not have flourished.","TRUE"
"0334.dat","line","420","5 [ナレーション]","そして　意地悪な姉２は　ルカデレラから
一緒に暮らしたいといわれ　城へと居を移し
３人で　幸せに暮らしましたとさ","5 [Narration]","And the other sister came to live with Cinderuca in the
palace. Together, the three of them lived the rest of
their lives happily. The end.","TRUE"
"0335.dat","title","966","","なし","","None","FALSE"
"0335.dat","speaker","0","","ハルトマン","","Hartman","FALSE"
"0335.dat","speaker","1","","ルカ","","Ruca","FALSE"
"0335.dat","speaker","2","","スパーダ","","Spada","FALSE"
"0335.dat","speaker","3","","コーダ","","Coda","FALSE"
"0335.dat","speaker","4","","イリア","","Illia","FALSE"
"0335.dat","speaker","5","","アンジュ","","Ange","FALSE"
"0335.dat","speaker","6","","エルマーナ","","Hermana","FALSE"
"0335.dat","speaker","7","","キュキュ","","QQ","FALSE"
"0335.dat","speaker","8","","リカルド","","Ricardo","FALSE"
"0335.dat","speaker","9","","コンウェイ","","Kongwei","FALSE"
"0335.dat","line","1","0 [ハルトマン]","皆様　ちょうど良いところに","0 [Hartman]","Welcome, everyone, you just came at the right time.","TRUE"
"0335.dat","line","5","2 [スパーダ]","どうかしたのか　ハルトマン？","2 [Spada]","What’s up?","TRUE"
"0335.dat","line","8","0 [ハルトマン]","先ほど　良い食材が　手に入りましてな
是非　お坊ちゃま方に　召し上がって
いただきたいと　思っていたところで御座います","0 [Hartman]","I just happened to acquire some good ingredients, and 
the thought occured to me that I would like the young
master to try it.","TRUE"
"0335.dat","line","11","0 [ハルトマン]","もし　お食事がお済みでないのならば
ご用意いたしますが　如何いたしましょう？","0 [Hartman]","If you do not have any arrangements for dinner yet, 
I could cook for you. How does that sound?","TRUE"
"0335.dat","line_speaker","18","","コーダ＆エル","","Coda & Hermie","FALSE"
"0335.dat","line","18","3 [コーダ]
6 [エルマーナ]","是非！！","3 [Coda]
6 [Hermana]","Certainly!!","TRUE"
"0335.dat","line","24","0 [ハルトマン]","元気があって　良いですなぁ","0 [Hartman]","How wonderfull, you are both so energetic.","TRUE"
"0335.dat","line","27","2 [スパーダ]","悪いな　ハルトマン　よろしく頼む","2 [Spada]","Sorry for making you go through the trouble, Hartman.
I’ll leave it to you.","TRUE"
"0335.dat","line","30","0 [ハルトマン]","かしこまりました
このハルトマン
久々に腕を　ふるわせていただきます","0 [Hartman]","Of course. Well then, it has been a while, but I, 
Hartman, will wield these arms once again.","TRUE"
"0335.dat","line","45","0 [ハルトマン]","お待たせいたしました","0 [Hartman]","Thank you for waiting.","TRUE"
"0335.dat","line","49","4 [イリア]","あれ？　コレっぽっち？
今日はやけに質素じゃない？","4 [Illia]","What? Only this? Isn’t the food awfully scarce today?","TRUE"
"0335.dat","line","52","0 [ハルトマン]","こちらは前菜でございます","0 [Hartman]","This is only an appetizer, Miss.","TRUE"
"0335.dat","line","57","6 [エルマーナ]","こんなん　二口で食うてまうわ…","6 [Hermana]","Aww... Ah’ll only end up finishin’ this in two bites...","TRUE"
"0335.dat","line","61","0 [ハルトマン]","お待たせしました
旬野菜のスープとパンで御座います","0 [Hartman]","Sorry to have kept you waiting. Here is the soup made
from fresh vegetables and bread.","TRUE"
"0335.dat","line","66","3 [コーダ]","少ないぞ　しかし！
もっと　出せ　じじい！","3 [Coda]","Not much, it’s not much! Give Coda more food gramps.","TRUE"
"0335.dat","line","70","0 [ハルトマン]","後ほどサラダ
そして魚料理　肉料理等　数品をお出しします","0 [Hartman]","After this will be salad. I will also serve some other
dishes, made with fish and meat.","TRUE"
"0335.dat","line","73","0 [ハルトマン]","さらにデザートと
食後のお茶がございますので　お楽しみ下さい","0 [Hartman]","Furthermore, there will be dessert. I also prepared 
some tea for later, so please look forward to that.","TRUE"
"0335.dat","line","78","6 [エルマーナ]","なんでいっぺんに　持って来てくれへんの？","6 [Hermana]","Why can’t you just bring it all at once?","TRUE"
"0335.dat","line","82","0 [ハルトマン]","こうして料理と料理の合間に
時間を持たせることが　重要なので御座います","0 [Hartman]","The time between each dish is necessary.","TRUE"
"0335.dat","line","85","0 [ハルトマン]","お喋りをしたり　調度品を鑑賞したりして
時間を過ごすものなのです","0 [Hartman]","With such, it will be possible to spend your time 
conversing with each other and appreciating the 
surroundings.","TRUE"
"0335.dat","line","90","6 [エルマーナ]","面倒くさいなぁ
まあ　料理はめっちゃうまいけど","6 [Hermana]","The food might be delicious, but this is a pain.","TRUE"
"0335.dat","line","94","9 [コンウェイ]","味を堪能するのも結構だけど
折角だから　ボクたちも
それにならってみても　良いんじゃない？","9 [Kongwei]","It is wonderful to appreciate the food on its own. But
since we are already here, why not do as he says?","TRUE"
"0335.dat","line","106","5 [アンジュ]","おいしかったなぁ
こうして　ゆっくりと食べるのは　久々ね","5 [Ange]","That was delicious! It has been a while since I was 
able to take my time eating.","TRUE"
"0335.dat","line","110","8 [リカルド]","ああ
だが悠長に　時間を掛けてメシを食うなど
俺の性に合わないが","8 [Ricardo]","Indeed, but I must admit that I’m not used to this 
manner of eating.","TRUE"
"0335.dat","line","114","2 [スパーダ]","あ　ひょっとして
このコースって　昔実家でオレが
ちょくちょく　食ってたヤツか？","2 [Spada]","Oh, is this the same four-course-meal I used to eat
back at my place?","TRUE"
"0335.dat","line","117","0 [ハルトマン]","左様で御座います
ところが坊ちゃまは　せっかちなお方","0 [Hartman]","Indeed it is. However, Young Master, you are still 
as impatient as you were before.","TRUE"
"0335.dat","line","120","0 [ハルトマン]","オードブルを　何回もお代りして　お腹を満たし
すぐ　遊びに出かけられてしまったのです","0 [Hartman]","You used to help yourself to several servings of hors 
d’oeuvres until you were full. And then you would 
immediately run off to play.","TRUE"
"0335.dat","line","124","2 [スパーダ]","そのうち　オレだけ別室で
食わされるようになったもんな","2 [Spada]","Eventually they started making me eat in a 
separate room.","TRUE"
"0335.dat","line","128","2 [スパーダ]","メイン料理と　オードブルと　サラダと
スープを　一つのトレイに乗せた
定食みたいなヤツだったけど","2 [Spada]","They would bring me the hors d’oeuvres, salad, soup, 
and the main course, all on one tray. Sorta like a 
boxed lunch.","TRUE"
"0335.dat","line","131","0 [ハルトマン]","あれは実はコースと　同じ料理だったのですよ","0 [Hartman]","It was all the same dishes that the rest of 
household would eat.","TRUE"
"0335.dat","line","134","2 [スパーダ]","そうか…
オレ　親父や兄貴たちに嫌われて
別室で食わされてるかと思ってた","2 [Spada]","I see... I thought my dad and brothers made me eat in
a separate room because they hated me.","TRUE"
"0335.dat","line","138","2 [スパーダ]","でもそれって　礼儀作法が
しっかりしてなかったからだったんだな","2 [Spada]","Turns out, it was because I didn’t have the proper
etiquette.","TRUE"
"0335.dat","line","143","4 [イリア]","ってか　あんた　こんなの毎日食ってたわけ？","4 [Illia]","So you’re saying that you ate this kinda food every day?","TRUE"
"0335.dat","line","148","5 [アンジュ]","それなのにどうして？
なぜ太ってないの？","5 [Ange]","But even then... why... WHY ARE YOU NOT FAT?!","TRUE"
"0335.dat","line","153","6 [エルマーナ]","アンジュ姉ちゃん　話ズレとるで…","6 [Hermana]","Ange, yer a bit off topic...","TRUE"
"0335.dat","line","159","2 [スパーダ]","ガ　ガキの頃の話だって！","2 [Spada]","Th-That was back when I was a kid!","TRUE"
"0335.dat","line","163","2 [スパーダ]","それに戦争が激しくなってから
貴族社会では　質素こそが美徳だっていう
風潮に変わって行ったんだよっ！","2 [Spada]","Besides, ever since the war became more intense,
the noble society has changed and started to see
beauty in simplicity!","TRUE"
"0335.dat","line","168","8 [リカルド]","クソ…　俺がガキの頃は
ドロ水をすすって生き延びたというのに","8 [Ricardo]","Damn... To think that I survived drinking muddy water
when I was a kid.","TRUE"
"0335.dat","line","174","6 [エルマーナ]","ウチかて　あーんなことや　こーんなことせんと
ロクに食うて行かれへんかってんで？","6 [Hermana]","Ah had ta overcome this an’ that, an’ still couldn’t 
eat right!?","TRUE"
"0335.dat","line","180","7 [キュキュ]","キュキュも　食べれないことあた
ヘンな帽子　うらやましい…","7 [QQ]","QQ also couldn’t eat a lot of things. I envy you,
 weird hat...","TRUE"
"0335.dat","line","186","2 [スパーダ]","なんでオレ　責められてんだ？","2 [Spada]","What? Why am I being criticized for something 
like this?","TRUE"
"0335.dat","line","216","9 [コンウェイ]","みんな食べ終わったようだし
そろそろ　行かない？","9 [Kongwei]","Seems everyone is done eating. Well, I think we 
should go.","TRUE"
"0335.dat","line","220","2 [スパーダ]","だな
ハルトマン　ありがとな
","2 [Spada]","Right... Thanks Hartman. ","TRUE"
"0335.dat","line_addition","223","","メシ　うまかったぜ","","The food was really good.","TRUE"
"0335.dat","line","227","3 [コーダ]","じじい　メシ　うまかったぞ　しかし
またなー","3 [Coda]","Yeah, the food was good gramps, see you later.","TRUE"
"0336.dat","title","967","","なし","","None","FALSE"
"0336.dat","speaker","0","","サクヤ","","Sakuya","FALSE"
"0336.dat","speaker","1","","アスラ","","Asura","FALSE"
"0336.dat","line","0","0 [サクヤ]","ああ　こんなにも美しく咲いてくれるなんて…","0 [Sakuya]","This has bloomed quite well too...","TRUE"
"0336.dat","line","3","0 [サクヤ]","この花壇が　わずかでも
お忙しいアスラさまの癒しになれば……","0 [Sakuya]","If only for a bit, may these flowers bring Lord 
Asura comfort...","TRUE"
"0336.dat","line","7","0 [サクヤ]","しかし　アスラさまは
お喜びになってくださるのだろうか…","0 [Sakuya]","Still, I wonder if Lord Asura will be delighted...","TRUE"
"0336.dat","line","14","1 [アスラ]","サクヤ　こんなところに居たのか","1 [Asura]","Sakuya, so you were here after all.","TRUE"
"0336.dat","line","18","0 [サクヤ]","アスラさま！？
お戻りになられていたとは
出迎えできず　申し訳ございません","0 [Sakuya]","Lord Asura! I apologize for not being able to greet your 
return.","TRUE"
"0336.dat","line","25","1 [アスラ]","気にするな
俺も　こんなに早く戻れるとは
思ってはいなかった","1 [Asura]","Don’t worry about it. I too did not think that I’d return 
this early.","TRUE"
"0336.dat","line","29","0 [サクヤ]","ありがとうございます
あの…　私に何か御用事が…？","0 [Sakuya]","Thank you. Um... is there something I can help 
you with?","TRUE"
"0336.dat","line_speaker","35","","アスラ","","Asura","FALSE"
"0336.dat","line","35","","……………………","","...","TRUE"
"0336.dat","line","39","1 [アスラ]","…美しいな","1 [Asura]","How pretty...","TRUE"
"0336.dat","line","43","0 [サクヤ]","え…？　あ…　あの…アスラさま…？","0 [Sakuya]","Huh? L-Lord Asura?","TRUE"
"0336.dat","line","48","1 [アスラ]","ああ　すまない
最近　あまり顔色が優れぬと聞いてな","1 [Asura]","Apologies. I heard that your complexion hasn’t been 
well lately.","TRUE"
"0336.dat","line","51","0 [サクヤ]","お…　お気遣い　ありがとうございます
ですが　アスラさまの御心を
わずらわせてしまうとは……","0 [Sakuya]","Thank you for noticing... 
But I do not wish to trouble you...","TRUE"
"0336.dat","line","58","1 [アスラ]","なに　おまえは天上界統一のため
よく働いてくれているからな","1 [Asura]","Why should I not be troubled? After all, you’ve also 
been working hard for the unification of Cielo.","TRUE"
"0336.dat","line","61","1 [アスラ]","しかし　こうも顔色が　優れぬのでは
うまくいくことも　うまくいかぬ
少し　休むがいい","1 [Asura]","Still, if your complexion is bad, it’s better for you to rest.","TRUE"
"0336.dat","line","65","0 [サクヤ]","しかし　私一人が休んでいるわけには…！","0 [Sakuya]","Still, I can’t just rest without--","TRUE"
"0336.dat","line","68","1 [アスラ]","お前に倒れられては　困るからな
俺のことなら心配いらん　任せておけ","1 [Asura]","It will be quite troublesome if you collapse, after all. 
No need to worry, leave it all to me.","TRUE"
"0336.dat","line","77","0 [サクヤ]","アスラさま　なんとお優しい…
私は　この先もずっと　アスラさまのために…","0 [Sakuya]","Lord Asura is so kind... I shall work hard for your sake...","TRUE"
"0337.dat","title","968","","なし","","None","FALSE"
"0337.dat","speaker","0","","サクヤ","","Sakuya","FALSE"
"0337.dat","speaker","1","","アスラ","","Asura","FALSE"
"0337.dat","speaker","2","","イナンナ","","Inanna","FALSE"
"0337.dat","line","0","0 [サクヤ]","アスラさま…","0 [Sakuya]","Lord Asura...","TRUE"
"0337.dat","line","12","1 [アスラ]","…美しいな","1 [Asura]","How pretty...","TRUE"
"0337.dat","line","24","0 [サクヤ]","あぁ…　アスラさま…　アスラさまが美しいと…
あの女ではなく　私におっしゃってくださった…","0 [Sakuya]","Lord Asura... To think that he would call me pretty... 
He called “me” pretty, not her.","TRUE"
"0337.dat","line","29","0 [サクヤ]","…おかしい
花の数が　少なくなっている？","0 [Sakuya]","How strange. The number of flowers has decreased.","TRUE"
"0337.dat","line","33","0 [サクヤ]","枯れた跡もない…
これは　一体どういうこと…？","0 [Sakuya]","It seems that none withered...
What’s the meaning of this...?","TRUE"
"0337.dat","line","37","2 [イナンナ]","花なら　摘ませてもらったわ","2 [Inanna]","If it’s the flowers, I helped myself to a few.","TRUE"
"0337.dat","line","45","0 [サクヤ]","私の花を　勝手に……
どういうつもり？","0 [Sakuya]","You cut my flowers? Why?","TRUE"
"0337.dat","line","48","2 [イナンナ]","その花　アスラさまが　美しいと褒めていたわ
だから　摘ませてもらったの
さすが花の女神ね","2 [Inanna]","Lord Asura has been praising the beauty of 
your flowers. That’s why I took a few. As 
expected of a flower goddess.","TRUE"
"0337.dat","line","53","0 [サクヤ]","アスラさまが…","0 [Sakuya]","Lord Asura does?","TRUE"
"0337.dat","line","56","2 [イナンナ]","お部屋に飾ったら　とても喜んでいたわよ","2 [Inanna]","He was quite happy when he saw 
his room decorated with them.","TRUE"
"0337.dat","line","60","0 [サクヤ]","どうであろうと　アスラさまが
喜んでくださるのなら　私は……","0 [Sakuya]","Well, as long as he’s pleased, I...","TRUE"
"0337.dat","line","65","0 [サクヤ]","私は……私はアスラさまのために………","0 [Sakuya]","I... As long as it’s for Lord Asura...","TRUE"
"0337.dat","line_speaker","71","","サクヤ","","Sakuya","FALSE"
"0337.dat","line","71","","…………………","","...","TRUE"
"0337.dat","line","76","0 [サクヤ]","イナンナ……あの女………ッ！！","0 [Sakuya]","Inanna... that witch...!","TRUE"
"0338.dat","title","969","","なし","","None","FALSE"
"0338.dat","speaker","0","","サクヤ","","Sakuya","FALSE"
"0338.dat","speaker","1","","オリフィエル","","Orifiel","FALSE"
"0338.dat","line","0","1 [オリフィエル]","もし…　もし　サクヤ殿","1 [Orifiel]","...Sakuya... Do your hear me? Lady Sakuya...","TRUE"
"0338.dat","line","4","0 [サクヤ]","オリフィエルさま　どうなさいました？
アスラさまならば　ただいま　外出しております","0 [Sakuya]","Oh, Lord Orifiel, what’s the matter? 
If you’re looking for Lord Asura, 
he’s just gone somewhere.","TRUE"
"0338.dat","line","7","1 [オリフィエル]","ああ　いえ　違います
今日は　あなたに用があって
参りました次第でして","1 [Orifiel]","Oh, no that’s not it. I’ve come to look for you, in fact.","TRUE"
"0338.dat","line","10","0 [サクヤ]","私に…でございますか","0 [Sakuya]","Me?","TRUE"
"0338.dat","line","13","1 [オリフィエル]","ええ　失礼を承知で申し上げます","1 [Orifiel]","Indeed. Pardon me if I bothered you.","TRUE"
"0338.dat","line","16","1 [オリフィエル]","あなたが大事に育てた花
お譲りいただけませんか？","1 [Orifiel]","Is it alright if you give me 
some of your treasured flowers?","TRUE"
"0338.dat","line","20","0 [サクヤ]","それはまた　何故でございます？","0 [Sakuya]","What do you need them for?","TRUE"
"0338.dat","line","23","1 [オリフィエル]","私の愛弟子へ　贈りたいのです
少しでも　あの子の心が安らぐように","1 [Orifiel]","I wish to give them to my beloved pupil. 
So that child’s heart may at least be at ease.","TRUE"
"0338.dat","line","27","0 [サクヤ]","そういうことでしたら
断る理由がございません
どうぞ　お好きなだけ　お持ちください","0 [Sakuya]","If that is so, then I have no reason to refuse.
Please, feel free to help yourself.","TRUE"
"0338.dat","line","30","1 [オリフィエル]","心より　感謝致します","1 [Orifiel]","From the bottom of my heart, I’m grateful.","TRUE"
"0338.dat","line","34","1 [オリフィエル]","………………","1 [Orifiel]","...","TRUE"
"0338.dat","line","40","0 [サクヤ]","あの…　オリフィエルさま…？","0 [Sakuya]","Lord Orifiel?","TRUE"
"0338.dat","line","44","1 [オリフィエル]","サクヤ殿　恐れ入りますが
どの花がいいか　見繕っていただけますかな？
私には　どれも可憐に見えてしまいまして…","1 [Orifiel]","Lady Sakuya, I’m sorry to impose, but... 
what sort of flower should I choose?
I think all of them look so lovely...","TRUE"
"0338.dat","line","48","0 [サクヤ]","ふふっ　構いません","0 [Sakuya]","Heehee, that doesn’t matter.","TRUE"
"0338.dat","line","51","1 [オリフィエル]","いくら知識を修めようと
花ひとつ　満足に選べぬとは
いやはや　お恥ずかしい限りです","1 [Orifiel]","How embarrassing that I, who has 
dedicated my own life to studying, 
feel troubled about choosing one flower.","TRUE"
"0338.dat","line","58","0 [サクヤ]","こちらで　如何でしょうか？","0 [Sakuya]","Then, how about this?","TRUE"
"0338.dat","line","62","1 [オリフィエル]","ああ　これは素晴らしい…！
あの子も　喜ぶことでしょう","1 [Orifiel]","Indeed, this is wonderful!
That child will surely be happy.","TRUE"
"0338.dat","line_speaker","70","","ヒンメル","","Himmel","FALSE"
"0338.dat","line","70","","キレイな花だね　オリフィエル
ありがとう","","What a pretty flower. Thank you, Orifiel.","TRUE"
"0338.dat","line","77","1 [オリフィエル]","…ヒンメル様……","1 [Orifiel]","Lord Himmel...","TRUE"
"0339.dat","title","970","","なし","","None","FALSE"
"0339.dat","speaker","0","","サクヤ","","Sakuya","FALSE"
"0339.dat","speaker","1","","アスラ","","Asura","FALSE"
"0339.dat","speaker","2","","イナンナ","","Inanna","FALSE"
"0339.dat","line","2","0 [サクヤ]","アスラさま……","0 [Sakuya]","Lord Asura...","TRUE"
"0339.dat","line_speaker","7","","サクヤ","","Sakuya","FALSE"
"0339.dat","line","7","","…………","","...","TRUE"
"0339.dat","line","11","0 [サクヤ]","アスラさまにもう一度
私を見てもらいたい…","0 [Sakuya]","I want to meet him again...","TRUE"
