"Chara","#","Japanese","English"
"6","39","素敵なパートナーです","You are a fantastic partner!"
"6","40","目が離せんな","I’ll be keeping an eye on you."
"6","41","見ない戦い方だ。何者だ？","This skill... who are you...?"
"6","42","一先ず信用してやるか","I suppose I’ll trust you for now."
"6","43","実力は認めてやる","I’ll recognise your skills."
"6","44","息が合ってきたな","We finally make a good pair."
"6","45","俺をあまりからかうな…","Please don’t tease me too much..."
"6","46","ふん…","Hmph"
"6","47","多少は目を瞑ってやるか","I’ll give you some space."
"6","48","色々あったが大事な仲間だ","We’ve been through a lot together."
"6","49","よろしく頼むぞ","I’m counting on you."
"6","50","頭良さそうやわ","Yer a smart one."
"6","51","美形やなぁ","Yer face is so purty."
"6","52","いつも冷静やなぁ","How’re ya always so calm?"
"6","53","おっちゃんいくつなんやろ","Uncle, how old’re ya?"
"6","54","見習うとこ多そうやなぁ","Ah think Ah can learn a lot from ya."
"6","55","おもろい人やなぁ","Yer an interesting dude."
"6","56","一緒に旅できてよかったわ","Ah’m glad we got to travel together."
"6","57","ウチらは仲間や！","We’re a team!"
"6","58","頼りになるおっちゃんや！","Yer an Uncle Ah can count on!"
"6","59","おっちゃん、任せたで！","I got ya Uncle!"
"6","60","なし","None"
"6","61","なし","None"
"6","62","なし","None"
"6","63","なし","None"
"6","64","なし","None"
"6","65","なし","None"
"6","66","なし","None"
"6","67","なし","None"
"6","68","なし","None"
"6","69","なし","None"
"6","70","コンウェイいて助かた","Kongwei saved me."
"6","71","本心見えない","Don’t know Kongwei’s real plan."
"6","72","きょーどーせんせん！","Fight together!"
"6","73","もう少し体張る！","Risk your life more!"
"6","74","コンウェイ、元気足りない","Kongwei, be more lively!"
"6","75","ウソつき！","Liar!"
"6","76","別の意味で尊敬……","Respect you in different way..."
"6","77","今は仲間。仲間は助ける","Now you’re friend. Friend QQ save!"
"6","78","……意外とやる","Unexpectedly strong...!"
"6","79","でも、やっぱりイヤなヤツ","Still don’t really like Kongwei."
"7","0","不思議な人だなぁ","What a strange person..."
"7","1","どういう国の人なのかな？","I wonder which country she’s from?"
"7","2","すごい人だなぁ","She’s amazing...!"
"7","3","抱きつくのはちょっと…","The hugging is a bit..."
"7","4","すごく頼りになる人だよ","What a really reliable person."
"7","5","かけがえのない仲間だよ","An irreplaceable friend."
"7","6","頼られるようにがんばろう","I’ll do my best to be more reliable."
"7","7","後ろにいると安心できるよ","I’m relieved that you have my back."
"7","8","僕達なら誰にも負けないね","Together, we won’t lose to anyone!"
"7","9","彼女は僕が守るよ！","I’ll protect you!"
"7","10","変わった人ね","Strange girl."
"7","11","なんかキズだらけねぇ","You’re covered with wounds!"
"7","12","もしかして怖がられてる？","Are you... scared of me?"
"7","13","なにか言いたげなのよねぇ","You like you wanna say something."
"7","14","いつもドコ見てんの？","What are you looking at?"
"7","15","あの胸はけしからん","That chest is scandalous."
"7","16","ホント、頼りになるわ","I really can count on you."
"7","17","出会いに感謝ね","I’m glad we met."
"7","18","大事な親友よ！","My very best-best-friend!"
"7","19","あたしもキュキュを守るわ","I’ll protect you too, QQ!"
"7","20","得体が知れねぇヤツだな","I have no idea what you’re like."
"7","21","変わったヤツだぜ","Really weird chick."
"7","22","結構面白いヤツみたいだな","You’re a pretty fun gal."
"7","23","案外良いヤツじゃん","Unexpectedly, a pretty nice gal."
"7","24","帽子をジロジロ見んなよな","Please stop staring at my hat."
"7","25","オレの扱い、雑だよな…","Stop treating me like crap."
"7","26","扱いがマシになったな","You’re nicer to me than before"
"7","27","オレが守ってやるよ","I’ll protect you."
"7","28","お前と組めば無敵だぜ！","With you and me, we’re invincible!"
"7","29","結局帽子かよ！！","So it’s still my hat!?"
"7","30","なんだか視線が…","I feel like I am being stared at..."
"7","31","エルみたいに元気な人ね","Energetic just like Hermie."
"7","32","過剰なスキンシップがなぁ","You really like cuddling."
"7","33","突然抱きついてくるのよね","You are suddenly hugging me..."
"7","34","お腹を触られたわ…","You are touching my stomach..."
"7","35","食事中に見られてる気が…","I feel like she’s watching me eat..."
"7","36","最近はよく一緒にいるかな","Are we not together a lot lately?"
"7","37","今ではおやつ仲間ね","My current teatime pal."
"7","38","一緒にいると楽しいです","It is so fun when we’re together."
"7","39","私の大切な友人です","My dearest friend."
"7","40","俺を見る目が怪しいな","What’s with that look?"
"7","41","なにか誤解されてるのか？","Did you misunderstand something?"
"7","42","誤解は解けそうにないな…","I don’t think we’ll get this straight..."
"7","43","諦めるしかないのか？","Is there no other choice?"
"7","44","俺は普通だ！","I’m an ordinary man!"
"7","45","なぜ悲しい目で見てくる？","What’s with the sad look?"
"7","46","最近やけにやさしいな…","You’ve been awfully nice lately..."
"7","47","やっと理解したか","So you finally understand me?"
"7","48","長い戦いだった…","That took too long..."
"7","49","俺に任せておけ！","Leave it to me!"
"7","50","元気な人やなぁ！","Ya sure are an energetic person!"
"7","51","やっぱ変わった人やわ","Ya really are an odd person."
"7","52","もっと仲良うなりたいわ","Ah wanna be friends with ya."
"7","53","通じるもんがあんねん","Ah can really get through to ya."
"7","54","しゃべってて楽しい人やわ","It’s fun talking to ya."
"7","55","ウチらは友達や！","We’re friends a’ight!"
"7","56","一緒にいて心地ええなぁ","Feels good when we’re together!"
"7","57","ウチの親友や！","Yer mah buddy!"
"7","58","姉ちゃんはウチが守る！","Ah’ll protect ya sis!"
"7","59","ずっと一緒におりたいわ","Ah want to be with ya forever."
"7","60","同郷の人に会うとはね","To meet a fellow countryman here..."
"7","61","……今は様子見かな","I guess I shall just wait and see..."
"7","62","今は仲間ということに","And now we are friends."
"7","63","無鉄砲すぎだよ","You are too reckless!"
"7","64","本当、やかましいね","You are too loud."
"7","65","すべては話せないんだよ","I cannot tell you everything."
"7","66","処世術を身につけたら？","What if you learnt some life skills?"
"7","67","フォローどうも","Thank you for being by my side."
"7","68","少しくらいは助けるよ","I will help you out a little."
"7","69","すっかり嫌われちゃったな","You really hate me now..."
"7","70","なし","None"
"7","71","なし","None"
"7","72","なし","None"
"7","73","なし","None"
"7","74","なし","None"
"7","75","なし","None"
"7","76","なし","None"
"7","77","なし","None"
"7","78","なし","None"
"7","79","なし","None"
